idItem,userId,idFeedback,item,pivote,value,completed,course,nameItem
62,1789,8,62,178962,2,24,132,"¿En que modalidad te encuentras inscrito?"
63,1789,8,63,178963,6,24,132,"¿Cuál es tu edad actual? "
64,1789,8,64,178964,2,24,132,"¿Cuál es tu estado civil?"
65,1789,8,65,178965,2,24,132,"¿Cuál es tu situación laboral actual?"
66,1789,8,66,178966,2,24,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1789,8,67,178967,4,24,132,"¿Cuál es el máximo estudio de la madre?"
68,1789,8,68,178968,2,24,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1789,8,69,178969,1,24,132,"¿Tienes pareja?"
59,1745,8,59,174559,1,25,132,"Selecciona la carrera a la cual perteneces."
60,1745,8,60,174560,1,25,132,"Selecciona el semestre en el que te encuentras"
61,1745,8,61,174561,1,25,132,"¿Con qué género te identificas más?"
62,1745,8,62,174562,2,25,132,"¿En que modalidad te encuentras inscrito?"
63,1745,8,63,174563,2,25,132,"¿Cuál es tu edad actual? "
64,1745,8,64,174564,1,25,132,"¿Cuál es tu estado civil?"
65,1745,8,65,174565,5,25,132,"¿Cuál es tu situación laboral actual?"
66,1745,8,66,174566,2,25,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1745,8,67,174567,1,25,132,"¿Cuál es el máximo estudio de la madre?"
68,1745,8,68,174568,1,25,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1745,8,69,174569,2,25,132,"¿Tienes pareja?"
81,774,9,81,77481,1,26,75,"Selecciona la carrera a la cual perteneces."
82,774,9,82,77482,5,26,75,"Selecciona el semestre en el que te encuentras"
83,774,9,83,77483,1,26,75,"¿Con qué género te identificas más?"
84,774,9,84,77484,2,26,75,"¿En que modalidad te encuentras inscrito?"
85,774,9,85,77485,2,26,75,"¿Cuál es tu edad actual? "
86,774,9,86,77486,1,26,75,"¿Cuál es tu estado civil?"
87,774,9,87,77487,2,26,75,"¿Cuál es tu situación laboral actual?"
88,774,9,88,77488,2,26,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,774,9,89,77489,2,26,75,"¿Cuál es el máximo estudio de la madre?"
90,774,9,90,77490,3,26,75,"¿Cómo es tu relación con tus amigos(as)?"
91,774,9,91,77491,2,26,75,"¿Tienes pareja?"
59,1587,8,59,158759,1,27,132,"Selecciona la carrera a la cual perteneces."
60,1587,8,60,158760,1,27,132,"Selecciona el semestre en el que te encuentras"
61,1587,8,61,158761,2,27,132,"¿Con qué género te identificas más?"
62,1587,8,62,158762,2,27,132,"¿En que modalidad te encuentras inscrito?"
63,1587,8,63,158763,1,27,132,"¿Cuál es tu edad actual? "
64,1587,8,64,158764,1,27,132,"¿Cuál es tu estado civil?"
65,1587,8,65,158765,2,27,132,"¿Cuál es tu situación laboral actual?"
66,1587,8,66,158766,2,27,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1587,8,67,158767,2,27,132,"¿Cuál es el máximo estudio de la madre?"
68,1587,8,68,158768,2,27,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1587,8,69,158769,2,27,132,"¿Tienes pareja?"
81,779,9,81,77981,1,28,75,"Selecciona la carrera a la cual perteneces."
82,779,9,82,77982,5,28,75,"Selecciona el semestre en el que te encuentras"
83,779,9,83,77983,2,28,75,"¿Con qué género te identificas más?"
84,779,9,84,77984,2,28,75,"¿En que modalidad te encuentras inscrito?"
85,779,9,85,77985,3,28,75,"¿Cuál es tu edad actual? "
86,779,9,86,77986,1,28,75,"¿Cuál es tu estado civil?"
87,779,9,87,77987,2,28,75,"¿Cuál es tu situación laboral actual?"
88,779,9,88,77988,1,28,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,779,9,89,77989,2,28,75,"¿Cuál es el máximo estudio de la madre?"
90,779,9,90,77990,2,28,75,"¿Cómo es tu relación con tus amigos(as)?"
91,779,9,91,77991,1,28,75,"¿Tienes pareja?"
59,1607,8,59,160759,1,29,132,"Selecciona la carrera a la cual perteneces."
60,1607,8,60,160760,1,29,132,"Selecciona el semestre en el que te encuentras"
61,1607,8,61,160761,1,29,132,"¿Con qué género te identificas más?"
62,1607,8,62,160762,2,29,132,"¿En que modalidad te encuentras inscrito?"
63,1607,8,63,160763,3,29,132,"¿Cuál es tu edad actual? "
64,1607,8,64,160764,2,29,132,"¿Cuál es tu estado civil?"
65,1607,8,65,160765,1,29,132,"¿Cuál es tu situación laboral actual?"
66,1607,8,66,160766,1,29,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1607,8,67,160767,1,29,132,"¿Cuál es el máximo estudio de la madre?"
68,1607,8,68,160768,2,29,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1607,8,69,160769,1,29,132,"¿Tienes pareja?"
81,757,9,81,75781,1,30,75,"Selecciona la carrera a la cual perteneces."
82,757,9,82,75782,5,30,75,"Selecciona el semestre en el que te encuentras"
83,757,9,83,75783,1,30,75,"¿Con qué género te identificas más?"
84,757,9,84,75784,1,30,75,"¿En que modalidad te encuentras inscrito?"
85,757,9,85,75785,3,30,75,"¿Cuál es tu edad actual? "
86,757,9,86,75786,1,30,75,"¿Cuál es tu estado civil?"
87,757,9,87,75787,4,30,75,"¿Cuál es tu situación laboral actual?"
88,757,9,88,75788,2,30,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,757,9,89,75789,3,30,75,"¿Cuál es el máximo estudio de la madre?"
